"wl","Blue_20cd","Blue_40cd","Blue_80cd","Blue_120cd","Red_40cd","Red_80cd","Red_120cd","Red_240cd"
472,3410.0168951503,4515.59795904846,7990.48135151796,11616.5177554383,2376.48343278899,2380.11829836772,2366.22210734067,2383.68850709839
473,3598.47075003685,4881.80694917181,8882.392379407,12901.4840958971,2376.52168261667,2379.97751717583,2366.09199521366,2383.53660245318
474,3812.94773585565,5296.82238484063,9884.09783368566,14329.1713888055,2376.70071680304,2379.78727773816,2365.83044130108,2383.41599952193
475,4029.18363912053,5704.81097690125,10833.1320642839,15655.3229547061,2376.86565275501,2379.70396316868,2365.62467361784,2383.44535687491
476,4266.0070256447,6137.62393996522,11794.3789697979,16953.1706228146,2377.15713405332,2379.85369534196,2365.47694033811,2383.76202856815
477,4534.20227934577,6620.46874402391,12842.1318189903,18335.3932604956,2377.65939515955,2380.15625751073,2365.2957299129,2384.28195067135
478,4797.43891389424,7087.5464829934,13828.0390170409,19616.9047455152,2378.13293980189,2380.45852485619,2365.12763077236,2384.79165477534
479,5019.3864429606,7473.05825078979,14603.7489691298,20612.6189556397,2378.33827170853,2380.60737255952,2365.01923134663,2385.07767247098
480,5224.03015038416,7813.62039183634,15223.4762793418,21375.3567053755,2378.13994807461,2380.53251992853,2364.95332738976,2385.07210156619
481,5425.05519811337,8136.6902083163,15760.2594995337,22001.9577052142,2377.72091109485,2380.36512700221,2364.90152258593,2384.95622109605
482,5570.68091698246,8362.73023078571,16093.9829565433,22373.3641768994,2377.31924199674,2380.25423005855,2364.89361726046,2384.89033449212
483,5652.69302588292,8472.55379539396,16159.9350910574,22404.5390235769,2376.80986841265,2380.12178464024,2365.2526597993,2384.80545931547
484,5696.20120740568,8507.02002369563,16032.5457599525,22176.6605455352,2376.15057748709,2379.92629375743,2365.89633678474,2384.6346146228
485,5699.41073793416,8476.66012435455,15800.4114143507,21819.9940602315,2375.70373971586,2379.87161488934,2366.24640583657,2384.54110608913
486,5639.58144032591,8341.23182033784,15375.4910236871,21231.269042488,2375.55439864095,2380.03930858804,2365.91400729257,2384.6103908957
487,5525.61594095808,8110.75224828429,14751.3275413402,20391.9685817378,2375.49913275521,2380.30339661513,2365.23285869734,2384.74216084594
488,5403.18372149356,7871.14173736521,14138.8933943479,19559.4884173539,2375.46761498066,2380.55642826421,2364.70858348082,2384.82107354819
489,5253.45178534912,7591.49630285232,13491.3867130684,18674.2388743936,2375.41349776868,2380.99919021445,2364.37569050298,2384.93240253758
490,5063.51833032838,7245.88402918841,12735.2202541863,17647.1651950766,2375.41395787995,2381.62031492892,2364.03314136103,2385.10749287893
491,4887.94962967449,6927.68334930151,12041.1883842292,16691.4654945195,2375.58395470044,2381.994120377,2363.83323859086,2385.15010947506
492,4722.16888155976,6632.31366766305,11411.6804313516,15805.5436094907,2376.0811614854,2381.99487895937,2363.70606987672,2384.88608124123
493,4544.66397567093,6321.78142527969,10773.4049697686,14899.8141681827,2376.76659795266,2381.85489397817,2363.60054759695,2384.45821749104
494,4384.59822252282,6039.34560988225,10183.6352350994,14055.4914728483,2377.31024318207,2381.68552975496,2363.69721132851,2384.14575372486
495,4246.56636898917,5793.86674029027,9659.32708204535,13289.5648134475,2377.75300891976,2381.28016607218,2364.2736014327,2383.94200871367
496,4116.49633466789,5563.83998933558,9170.35830769981,12561.3820995747,2378.24180866037,2380.6421164609,2365.14180357641,2383.72075025087
497,3995.55118916005,5346.97632576755,8703.38506126985,11865.695562934,2378.60562410651,2380.19764586565,2365.78417529498,2383.5818873705
498,3888.48001003999,5149.21276885976,8264.67846653161,11208.59438084,2378.81085611495,2379.91375341384,2366.26857515533,2383.5804679969
499,3793.15956601115,4969.50862328945,7857.5944858082,10590.4082713807,2378.94368763352,2379.63870309935,2366.81523797183,2383.67469401785
500,3700.44446336826,4795.10828591142,7464.41652612719,9997.25027742062,2379.01277350151,2379.62065716651,2367.13508565102,2383.81920541251
501,3610.35528784944,4625.23829821065,7082.46265452715,9425.85583467197,2378.94812601318,2380.11791307457,2367.047666211,2384.01583275512
502,3527.18929553701,4465.89146404344,6720.31349795538,8882.79487301059,2378.75122069934,2380.97780115904,2366.69305329023,2384.26602491158
503,3448.21609824209,4314.46157382156,6377.14630330253,8368.9321765467,2378.53790725405,2381.83203297855,2366.26295722573,2384.52384929856
504,3370.70530777576,4168.34241795676,6052.13831745923,7885.13252939049,2378.42403537139,2382.31232009172,2365.94908835452,2384.74337333271
505,3293.58683741935,4026.33075177608,5743.66462645416,7430.83344316014,2378.52539497267,2382.48086922424,2365.5399228674,2384.94543078116
506,3219.04360511212,3890.63094149752,5452.79450618023,7005.83606573489,2378.71492153588,2382.58536730661,2365.00251043942,2385.17045586539
507,3149.22472965202,3763.74819386927,5182.74648832451,6611.55063561653,2378.7441830901,2382.5357462047,2364.79642163392,2385.40191668364
508,3083.62535818438,3645.39972742569,4935.64474833998,6253.06708616176,2378.52050629692,2382.0576365677,2365.22315832901,2385.65131705311
509,3021.50482110466,3534.60219774553,4709.48471840031,5928.06379238019,2378.19063765907,2381.26012549962,2365.98291479077,2385.90832316891
510,2964.65851208609,3432.80996714355,4501.29181527358,5626.83365525297,2377.86527496733,2380.62832954852,2366.63330016448,2386.12364669608
511,2914.02182462592,3341.69996349591,4315.50085193929,5355.41781782886,2377.36646675754,2380.12832946142,2367.21725307435,2386.30216091677
512,2868.46545387584,3260.01423499376,4151.6846003871,5115.63421669783,2376.70727712538,2379.56332392629,2367.90645297539,2386.4755710364
513,2826.68774599077,3184.80482442434,3999.57541590035,4891.44094315283,2376.28492720144,2379.17410640268,2368.45162025911,2386.63483660494
514,2790.27526511843,3118.66369371327,3863.68877255691,4688.55383916109,2376.1948280559,2379.09832636995,2368.89819696276,2386.85353939244
